iterations, time, cart::mass[REAL], cart::mass_pendulum[REAL], cart::length_pendulum[REAL], cart::initial_velocity[REAL], cart::initial_position[REAL], cart::velocity[REAL], cart::position[REAL], cart::acceleration[REAL], cart::force_pendulum[REAL], cart::force[REAL], pendulum::angular_velocity[REAL], pendulum::mass[REAL], pendulum::acceleration[REAL], pendulum::length[REAL], pendulum::initial_angle[REAL], pendulum::angle[REAL], pendulum::initial_angular_velocity[REAL], pendulum::force[REAL], pendulum::cart_acceleration[REAL], regulator::angular_velocity[REAL], regulator::k1[REAL], regulator::angle[REAL], regulator::k2[REAL], regulator::k3[REAL], regulator::velocity[REAL], regulator::position[REAL], regulator::k4[REAL], regulator::force[REAL]
0, 0, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.100000, 0.000000, 1.000000, 0.349066, 0.349066, 0.000000, 0.000000, 0.000000, 0.000000, -15.000000, 0.349066, -15.000000, -30.000000, 0.000000, 0.000000, -10.000000, 0.000000
1, 0.01, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.315210, 5.235988, 0.033552, 0.100000, 3.355218, 1.000000, 0.349066, 0.349401, 0.000000, -0.315210, 0.000000, 0.033552, -15.000000, 0.349401, -15.000000, -30.000000, 0.000000, 0.000000, -10.000000, 5.235988
2, 0.02, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.044734, 0.000447, 4.473434, -0.315308, 5.744303, 0.067135, 0.100000, 3.358310, 1.000000, 0.349066, 0.350073, 0.000000, -0.315308, 4.473434, 0.067135, -15.000000, 0.350073, -15.000000, -30.000000, 0.044734, 0.000447, -10.000000, 5.744303
3, 0.03, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.049355, 0.000494, 4.935451, 0.078783, 6.718884, 0.058759, 0.100000, -0.837613, 1.000000, 0.349066, 0.350660, 0.000000, 0.078783, 4.935451, 0.058759, -15.000000, 0.350660, -15.000000, -30.000000, 0.049355, 0.000494, -10.000000, 6.718884
4, 0.04, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.061797, 0.000618, 6.179697, 0.118874, 6.649643, 0.046107, 0.100000, -1.265197, 1.000000, 0.349066, 0.351121, 0.000000, 0.118874, 6.179697, 0.046107, -15.000000, 0.351121, -15.000000, -30.000000, 0.061797, 0.000618, -10.000000, 6.649643
5, 0.05, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.061532, 0.000615, 6.153197, 0.228031, 6.594937, 0.021822, 0.100000, -2.428499, 1.000000, 0.349066, 0.351340, 0.000000, 0.228031, 6.153197, 0.021822, -15.000000, 0.351340, -15.000000, -30.000000, 0.061532, 0.000615, -10.000000, 6.594937
6, 0.06, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.062027, 0.000620, 6.202699, 0.225448, 6.231206, -0.002189, 0.100000, -2.401145, 1.000000, 0.349066, 0.351318, 0.000000, 0.225448, 6.202699, -0.002189, -15.000000, 0.351318, -15.000000, -30.000000, 0.062027, 0.000620, -10.000000, 6.231206
7, 0.07, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.058697, 0.000587, 5.869686, 0.229882, 5.875805, -0.026668, 0.100000, -2.447871, 1.000000, 0.349066, 0.351051, 0.000000, 0.229882, 5.869686, -0.026668, -15.000000, 0.351051, -15.000000, -30.000000, 0.058697, 0.000587, -10.000000, 5.875805
8, 0.08, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.055506, 0.000555, 5.550625, 0.200893, 5.470324, -0.048050, 0.100000, -2.138193, 1.000000, 0.349066, 0.350571, 0.000000, 0.200893, 5.550625, -0.048050, -15.000000, 0.350571, -15.000000, -30.000000, 0.055506, 0.000555, -10.000000, 5.470324
9, 0.09, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.051557, 0.000516, 5.155652, 0.173372, 5.109524, -0.066489, 0.100000, -1.843934, 1.000000, 0.349066, 0.349906, 0.000000, 0.173372, 5.155652, -0.066489, -15.000000, 0.349906, -15.000000, -30.000000, 0.051557, 0.000516, -10.000000, 5.109524
